"common.name","taxon.type","scientific.name"
"Golden-winged Warbler","species","Vermivora chrysoptera"
"Swainson's Warbler","species","Limnothlypis swainsonii"
"Virginia's Warbler","species","Leiothlypis virginiae"
"MacGillivray's Warbler","species","Geothlypis tolmiei"
"Kentucky Warbler","species","Geothlypis formosa"
"Kirtland's Warbler","species","Setophaga kirtlandii"
"Cerulean Warbler","species","Setophaga cerulea"
"Black-throated Gray Warbler","species","Setophaga nigrescens"
"Townsend's Warbler","species","Setophaga townsendi"
"Hermit Warbler","species","Setophaga occidentalis"
"Black-headed Grosbeak","species","Pheucticus melanocephalus"
"Lazuli Bunting","species","Passerina amoena"
